klant_id,naam,regio,aanmelddatum,segment
K0001,Klant_1,Zuid,2021-12-12,Onbekend
K0002,Klant_2,West,2019-12-14,Zakelijk
K0003,Klant_3,Noordoost,2019-09-30,Zakelijk
K0004,Klant_4,Zuid,2018-03-20,Zakelijk
K0005,Klant_5,Oost,2018-09-05,Zakelijk
K0006,Klant_6,Noordoost,2019-09-20,Zakelijk
K0007,Klant_7,Noordoost,2017-09-21,Onbekend
K0008,Klant_8,Zuid,2019-12-13,Onbekend
K0009,Klant_9,Zuid,2021-05-15,Zakelijk
K0010,Klant_10,Oost,2019-10-01,Particulier
K0011,Klant_11,Zuid,2021-07-02,Zakelijk
K0012,Klant_12,Oost,2017-01-05,Particulier
K0013,Klant_13,Oost,2020-02-01,Zakelijk
K0014,Klant_14,Noordoost,2020-05-04,Zakelijk
K0015,Klant_15,West,2019-02-13,Onbekend
K0016,Klant_16,Oost,2019-05-27,Particulier
K0017,Klant_17,Noord,2019-09-19,Particulier
K0018,Klant_18,Noordoost,2019-06-03,Onbekend
K0019,Klant_19,Zuid,2020-10-05,Onbekend
K0020,Klant_20,West,2017-02-16,Onbekend
K0021,Klant_21,Noord,2019-05-17,Onbekend
K0022,Klant_22,Noord,2019-04-03,Particulier
K0023,Klant_23,Zuid,2019-07-25,Particulier
K0024,Klant_24,West,2022-01-18,Zakelijk
K0025,Klant_25,Noordoost,2018-10-18,Zakelijk
K0026,Klant_26,Noord,2017-09-26,Onbekend
K0027,Klant_27,West,2018-01-05,Onbekend
K0028,Klant_28,Zuid,2018-09-28,Onbekend
K0029,Klant_29,Noord,2020-02-04,Zakelijk
K0030,Klant_30,Noordoost,2021-08-21,Zakelijk
K0031,Klant_31,West,2021-08-10,Zakelijk
K0032,Klant_32,Noord,2018-10-19,Zakelijk
K0033,Klant_33,Noord,2017-04-30,Zakelijk
K0034,Klant_34,Oost,2019-04-11,Zakelijk
K0035,Klant_35,Oost,2021-12-16,Zakelijk
K0036,Klant_36,Zuid,2021-06-16,Onbekend
K0037,Klant_37,Zuid,2019-12-18,Onbekend
K0038,Klant_38,West,2022-05-29,Onbekend
K0039,Klant_39,West,2020-10-01,Onbekend
K0040,Klant_40,Zuid,2019-01-11,Zakelijk
K0041,Klant_41,Noord,2021-02-06,Particulier
K0042,Klant_42,Noord,2017-04-27,Zakelijk
K0043,Klant_43,Zuid,2022-01-28,Particulier
K0044,Klant_44,Noord,2019-03-02,Onbekend
K0045,Klant_45,Oost,2020-02-25,Zakelijk
K0046,Klant_46,West,2020-11-17,Onbekend
K0047,Klant_47,Zuid,2022-04-16,Zakelijk
K0048,Klant_48,West,2019-10-10,Onbekend
K0049,Klant_49,Noord,2021-07-23,Particulier
K0050,Klant_50,Oost,2019-12-18,Particulier
K0051,Klant_51,Noordoost,2018-09-26,Particulier
K0052,Klant_52,Oost,2018-05-28,Zakelijk
K0053,Klant_53,Zuid,2021-11-10,Particulier
K0054,Klant_54,Noordoost,2019-03-13,Zakelijk
K0055,Klant_55,Noord,2020-01-25,Particulier
K0056,Klant_56,Zuid,2021-07-20,Particulier
K0057,Klant_57,Zuid,2020-02-16,Zakelijk
K0058,Klant_58,West,2018-07-14,Zakelijk
K0059,Klant_59,Noord,2021-06-13,Particulier
K0060,Klant_60,West,2018-05-03,Zakelijk
K0061,Klant_61,Noord,2020-06-14,Particulier
K0062,Klant_62,Zuid,2022-03-24,Zakelijk
K0063,Klant_63,Zuid,2019-06-16,Onbekend
K0064,Klant_64,Noord,2020-07-19,Onbekend
K0065,Klant_65,Zuid,2020-04-27,Onbekend
K0066,Klant_66,Noordoost,2018-12-05,Onbekend
K0067,Klant_67,Zuid,2021-01-10,Onbekend
K0068,Klant_68,West,2018-08-04,Particulier
K0069,Klant_69,West,2019-03-01,Onbekend
K0070,Klant_70,Zuid,2019-05-11,Onbekend
K0071,Klant_71,West,2017-09-04,Onbekend
K0072,Klant_72,Zuid,2022-06-10,Onbekend
K0073,Klant_73,West,2020-01-05,Zakelijk
K0074,Klant_74,Noordoost,2017-06-03,Particulier
K0075,Klant_75,Zuid,2021-08-07,Onbekend
K0076,Klant_76,Oost,2020-12-29,Onbekend
K0077,Klant_77,Noord,2019-09-24,Onbekend
K0078,Klant_78,Noord,2020-01-15,Particulier
K0079,Klant_79,West,2018-11-28,Zakelijk
K0080,Klant_80,Zuid,2020-08-01,Particulier
K0081,Klant_81,West,2022-06-21,Zakelijk
K0082,Klant_82,Zuid,2020-05-28,Onbekend
K0083,Klant_83,Noord,2019-12-29,Onbekend
K0084,Klant_84,Noord,2019-12-07,Particulier
K0085,Klant_85,Noord,2019-10-06,Particulier
K0086,Klant_86,Zuid,2017-04-04,Zakelijk
K0087,Klant_87,West,2021-11-09,Zakelijk
K0088,Klant_88,Noord,2019-08-16,Particulier
K0089,Klant_89,Noordoost,2019-10-09,Zakelijk
K0090,Klant_90,Zuid,2018-03-29,Particulier
K0091,Klant_91,Zuid,2020-05-12,Zakelijk
K0092,Klant_92,Zuid,2019-07-01,Particulier
K0093,Klant_93,West,2017-08-06,Particulier
K0094,Klant_94,Zuid,2018-04-19,Particulier
K0095,Klant_95,Zuid,2018-03-08,Zakelijk
K0096,Klant_96,Noord,2017-12-07,Zakelijk
K0097,Klant_97,West,2018-07-05,Zakelijk
K0098,Klant_98,Noord,2021-06-24,Particulier
K0099,Klant_99,Zuid,2020-08-05,Zakelijk
