klant_id,jaar_maand,gb_verbruikt,minuten_gebeld
K0001,2022-03,47.4,440
K0001,2023-07,31.5,325
K0001,2023-01,40.1,303
K0001,2022-01,4.4,928
K0001,2024-01,13.3,158
K0001,2022-07,12.9,986
K0001,2023-06,25.3,100
K0001,2022-02,9.0,383
K0001,2022-11,12.6,395
K0002,2023-06,37.8,262
K0002,2023-03,8.9,421
K0002,2023-10,40.5,622
K0002,2024-04,18.9,416
K0002,2023-09,22.1,284
K0002,2022-03,6.9,740
K0002,2022-09,10.6,863
K0002,2024-01,8.7,69
K0002,2022-12,15.5,621
K0002,2023-12,17.2,567
K0002,2023-02,27.1,600
K0002,2022-02,23.6,130
K0002,2024-02,2.9,170
K0002,2023-04,30.2,991
K0002,2023-01,43.2,180
K0002,2023-07,19.8,50
K0002,2022-08,5.6,217
K0002,2023-05,11.4,566
K0002,2023-11,10.1,155
K0002,2023-08,35.3,840
K0002,2022-10,41.8,875
K0002,2022-01,9.0,761
K0003,2023-08,8.9,648
K0003,2022-01,28.9,832
K0003,2023-11,30.7,70
K0003,2022-04,43.8,711
K0003,2022-05,40.6,492
K0003,2023-10,23.1,966
K0003,2022-09,3.5,765
K0003,2023-12,49.9,598
K0003,2022-03,4.7,247
K0003,2022-11,18.9,248
K0003,2023-01,38.2,949
K0003,2023-05,23.0,87
K0003,2022-08,26.3,722
K0003,2024-02,34.3,602
K0003,2022-12,42.1,702
K0003,2023-04,15.0,137
K0003,2024-04,0.6,349
K0003,2023-02,11.6,916
K0003,2022-02,2.7,854
K0003,2023-03,25.4,344
K0003,2023-06,35.1,19
K0003,2024-01,37.7,646
K0004,2023-11,33.1,565
K0004,2022-01,14.9,940
K0004,2023-07,28.8,851
K0004,2024-03,11.5,373
K0004,2023-03,7.4,111
K0004,2022-08,8.6,929
K0004,2022-10,35.7,943
K0004,2023-06,19.0,851
K0004,2022-04,0.7,555
K0004,2024-01,48.5,153
K0004,2022-11,6.7,525
K0004,2022-12,15.9,803
K0004,2023-08,44.4,213
K0004,2022-09,7.3,90
K0004,2023-02,17.7,252
K0004,2023-10,12.8,408
K0004,2023-05,41.3,730
K0004,2024-02,33.2,542
K0004,2023-09,3.8,473
K0004,2022-05,1.0,960
K0004,2022-07,22.3,857
K0005,2024-02,8.0,328
K0005,2023-02,40.2,162
K0005,2023-12,5.3,366
K0005,2022-10,0.3,198
K0005,2023-10,21.6,820
K0005,2023-03,18.2,510
K0005,2022-02,14.8,238
K0005,2024-03,17.4,5
K0005,2024-04,41.6,765
K0006,2022-10,7.1,81
K0006,2022-09,34.9,208
K0006,2023-08,10.9,595
K0006,2023-12,23.5,303
K0006,2022-04,13.8,501
K0006,2023-01,19.8,489
K0006,2022-03,24.5,558
K0006,2023-03,47.0,90
K0006,2024-04,14.2,729
K0006,2024-01,23.0,203
K0007,2023-05,5.4,214
K0007,2022-10,20.8,473
K0007,2024-02,23.5,807
K0007,2023-12,4.9,64
K0007,2022-06,47.3,145
K0007,2023-09,15.5,381
K0007,2022-12,32.3,92
K0007,2022-08,32.1,467
K0007,2022-04,25.2,132
K0007,2023-03,39.3,313
K0007,2023-06,41.6,519
K0007,2022-07,29.1,267
K0007,2023-02,26.7,957
K0007,2022-09,35.5,473
K0007,2023-07,31.0,473
K0007,2023-10,42.2,192
K0007,2022-01,41.2,113
K0008,2024-01,22.8,407
K0008,2023-12,39.6,73
K0008,2024-04,22.3,261
K0008,2022-08,36.9,848
K0008,2022-04,35.4,726
K0008,2022-07,18.8,377
K0009,2023-04,49.1,848
K0009,2023-07,35.3,61
K0009,2022-06,46.9,632
K0009,2023-02,46.1,379
K0009,2024-02,22.1,430
K0009,2024-03,23.5,120
K0009,2023-06,37.1,898
K0009,2022-01,28.1,786
K0009,2022-08,29.8,981
K0009,2024-01,11.7,323
K0009,2023-08,19.3,786
K0009,2022-10,42.2,321
K0009,2023-05,5.3,842
K0009,2022-03,45.7,457
K0009,2023-11,9.9,258
K0010,2023-12,26.0,729
K0010,2023-10,18.7,948
K0010,2024-04,9.8,450
K0010,2023-04,40.9,20
K0010,2022-04,20.0,35
K0010,2022-11,13.1,232
K0010,2023-08,30.0,496
K0010,2022-09,37.2,940
K0010,2023-03,20.6,928
K0010,2023-02,35.3,604
K0010,2022-01,28.9,453
K0011,2023-05,21.9,396
K0011,2024-04,16.0,333
K0011,2022-05,21.3,2
K0011,2023-02,45.0,451
K0011,2023-04,37.2,746
K0011,2022-11,20.0,494
K0011,2022-06,39.0,372
K0011,2022-08,25.3,375
K0011,2024-01,40.0,141
K0011,2022-10,8.6,45
K0011,2022-03,47.1,237
K0011,2023-08,17.6,572
K0011,2023-12,7.0,597
K0011,2022-09,43.0,741
K0011,2023-11,21.1,697
K0011,2022-01,24.0,868
K0011,2024-03,0.9,306
K0011,2023-06,13.6,355
K0012,2022-07,31.9,583
K0012,2023-08,21.3,203
K0012,2022-09,42.6,216
K0012,2022-01,41.6,702
K0012,2024-01,34.4,181
K0012,2023-12,33.5,382
K0012,2022-02,1.8,198
K0012,2024-02,42.1,241
K0012,2023-05,5.3,226
K0012,2023-07,39.0,450
K0012,2022-03,11.1,203
K0012,2022-11,12.4,829
K0012,2023-03,49.6,271
K0012,2022-04,32.0,948
K0012,2024-04,46.3,886
K0012,2023-11,36.3,118
K0013,2023-02,18.3,427
K0013,2023-10,2.1,915
K0013,2022-12,46.9,347
K0013,2024-04,4.8,104
K0013,2022-04,4.5,26
K0013,2023-01,1.7,768
K0013,2022-10,1.0,648
K0013,2023-07,38.1,479
K0013,2023-06,0.7,556
K0013,2023-05,24.4,595
K0013,2022-05,28.7,0
K0013,2022-09,46.7,260
K0013,2023-04,20.7,675
K0013,2024-01,11.8,200
K0014,2023-04,13.7,78
K0014,2022-06,31.8,841
K0014,2023-08,43.1,245
K0014,2023-11,9.9,402
K0014,2022-01,49.0,434
K0014,2023-03,23.8,171
K0014,2022-12,19.9,960
K0014,2023-10,33.1,55
K0014,2022-05,12.5,283
K0015,2023-05,48.6,756
K0015,2024-02,36.8,45
K0015,2022-06,43.2,421
K0015,2022-02,43.5,129
K0015,2022-08,28.0,876
K0015,2022-03,7.7,996
K0016,2023-07,2.9,953
K0016,2023-12,38.9,343
K0016,2024-03,27.7,464
K0016,2022-04,41.1,101
K0016,2023-03,18.3,324
K0016,2023-05,10.9,690
K0016,2024-04,33.7,473
K0016,2022-03,13.9,934
K0016,2023-10,9.2,86
K0016,2022-02,10.8,395
K0017,2022-11,18.5,790
K0017,2022-08,45.4,677
K0017,2022-07,37.7,669
K0017,2023-07,22.6,993
K0017,2024-02,13.2,107
K0017,2022-01,10.6,14
K0017,2022-02,21.7,671
K0017,2023-11,27.2,112
K0017,2022-06,30.2,252
K0017,2023-05,31.8,858
K0017,2022-10,4.6,667
K0017,2022-05,32.4,0
K0017,2022-12,41.8,926
K0017,2022-03,15.6,160
K0017,2023-02,5.2,127
K0017,2023-03,44.9,443
K0017,2024-04,15.2,462
K0017,2022-04,39.3,472
K0017,2023-10,33.9,38
K0018,2022-05,39.6,722
K0018,2023-04,29.4,944
K0018,2022-07,38.5,841
K0018,2022-01,27.5,421
K0018,2022-06,18.1,628
K0018,2024-02,35.8,998
K0018,2024-01,8.9,941
K0018,2022-11,6.8,74
K0018,2022-08,28.4,58
K0018,2023-07,47.8,230
K0018,2023-10,37.5,198
K0018,2022-03,9.3,34
K0018,2022-10,19.5,981
K0018,2024-03,47.5,470
K0018,2023-09,6.2,791
K0018,2022-09,30.2,347
K0018,2023-06,21.9,912
K0018,2022-02,43.5,687
K0018,2022-04,11.0,686
K0018,2023-03,14.7,255
K0018,2023-11,16.2,102
K0019,2023-04,35.2,464
K0019,2023-09,46.4,954
K0019,2023-07,1.6,798
K0019,2024-02,0.7,245
K0019,2024-03,28.0,244
K0019,2023-11,5.0,605
K0019,2022-12,30.2,986
K0019,2022-01,1.4,7
K0020,2024-01,18.4,38
K0020,2023-02,37.9,3
K0020,2022-07,44.6,76
K0020,2024-02,23.0,644
K0020,2023-10,23.3,275
K0020,2023-08,26.2,289
K0020,2023-09,17.1,637
K0020,2022-03,38.8,929
K0020,2022-10,45.7,388
K0020,2023-03,12.9,763
K0020,2022-06,6.1,305
K0020,2022-08,11.5,718
K0020,2023-07,22.6,271
K0021,2023-09,11.4,295
K0021,2022-08,15.6,287
K0021,2022-12,18.6,968
K0021,2022-10,48.9,179
K0021,2023-12,19.1,73
K0021,2024-04,13.3,496
K0021,2023-10,12.1,848
K0021,2023-04,26.6,534
K0021,2022-09,30.9,908
K0021,2024-01,20.4,701
K0021,2022-01,35.2,341
K0021,2024-02,17.1,22
K0021,2023-05,25.6,578
K0021,2022-11,31.7,557
K0021,2024-03,13.1,658
K0021,2023-06,14.2,14
K0021,2022-07,24.6,77
K0021,2022-04,12.6,240
K0022,2022-03,41.4,45
K0022,2022-10,28.4,855
K0022,2022-05,15.4,844
K0022,2023-10,23.5,182
K0022,2023-06,43.4,908
K0022,2022-04,31.2,589
K0022,2023-08,44.7,689
K0022,2023-11,26.0,280
K0022,2023-07,42.3,276
K0022,2023-05,44.4,782
K0022,2024-02,23.9,431
K0022,2022-12,2.7,71
K0022,2022-09,26.9,911
K0022,2024-04,11.5,911
K0022,2024-01,21.7,200
K0022,2023-02,41.7,819
K0022,2023-12,40.5,465
K0022,2023-01,23.7,559
K0022,2023-03,25.9,759
K0022,2022-11,6.3,51
K0022,2022-07,20.2,833
K0022,2023-04,24.9,213
K0022,2022-01,23.1,767
K0023,2023-12,0.7,984
K0023,2023-10,6.8,145
K0023,2024-04,1.1,64
K0023,2022-05,0.9,519
