klant_id,opgezegd,opzeggingsdatum
K0001,1,2023-05-12
K0002,0,
K0003,0,
K0004,0,
K0005,0,
K0006,0,
K0007,0,
K0008,0,
K0009,1,2023-07-22
K0010,0,
K0011,1,2023-08-17
K0012,1,2023-11-18
K0013,0,
K0014,0,
K0015,1,2023-06-27
K0016,0,
K0017,0,
K0018,0,
K0019,0,
K0020,1,2023-12-26
K0021,0,
K0022,0,
K0023,1,2023-11-26
K0024,0,
K0025,0,
K0026,0,
K0027,0,
K0028,0,
K0029,0,
K0030,1,2023-08-22
K0031,0,
K0032,0,
K0033,0,
K0034,0,
K0035,0,
K0036,0,
K0037,1,2023-05-01
K0038,0,
K0039,1,2023-10-12
K0040,0,
K0041,0,
K0042,0,
K0043,0,
K0044,0,
K0045,0,
K0046,0,
K0047,0,
K0048,0,
K0049,0,
K0050,0,
K0051,0,
K0052,0,
K0053,1,2023-01-18
K0054,0,
K0055,0,
K0056,1,2023-09-22
K0057,0,
K0058,0,
K0059,0,
K0060,0,
K0061,0,
K0062,0,
K0063,0,
K0064,0,
K0065,0,
K0066,0,
K0067,0,
K0068,0,
K0069,0,
K0070,0,
K0071,0,
K0072,0,
K0073,0,
K0074,1,2023-03-20
K0075,0,
K0076,0,
K0077,0,
K0078,0,
K0079,1,2023-06-10
K0080,0,
K0081,1,2023-01-20
K0082,0,
K0083,0,
K0084,1,2023-11-11
K0085,0,
K0086,0,
K0087,0,
K0088,0,
K0089,1,2023-10-01
K0090,0,
K0091,0,
K0092,1,2023-03-12
K0093,0,
K0094,0,
K0095,1,2023-06-18
K0096,0,
K0097,0,
K0098,0,
K0099,0,
K0100,0,
K0101,1,2023-02-02
K0102,1,2023-04-09
K0103,1,2023-06-29
K0104,0,
K0105,1,2023-07-09
K0106,0,
K0107,0,
K0108,0,
K0109,1,2023-08-23
K0110,0,
K0111,0,
K0112,0,
K0113,0,
K0114,0,
K0115,0,
K0116,0,
K0117,0,
K0118,0,
K0119,0,
K0120,0,
K0121,0,
K0122,0,
K0123,0,
K0124,0,
K0125,0,
K0126,0,
K0127,1,2023-08-03
K0128,1,2023-10-06
K0129,0,
K0130,0,
K0131,1,2023-06-07
K0132,0,
K0133,1,2023-02-04
K0134,0,
K0135,0,
K0136,0,
K0137,0,
K0138,0,
K0139,1,2023-07-26
K0140,1,2023-03-07
K0141,0,
K0142,0,
K0143,0,
K0144,1,2023-09-17
K0145,0,
K0146,0,
K0147,0,
K0148,0,
K0149,0,
K0150,0,
K0151,0,
K0152,0,
K0153,1,2023-06-05
K0154,0,
K0155,0,
K0156,0,
K0157,0,
K0158,0,
K0159,0,
K0160,0,
K0161,0,
K0162,0,
K0163,0,
K0164,0,
K0165,0,
K0166,0,
K0167,1,2023-07-03
K0168,1,2023-12-07
K0169,0,
K0170,0,
K0171,0,
K0172,0,
K0173,0,
K0174,0,
K0175,0,
K0176,1,2023-08-22
K0177,1,2023-03-16
K0178,0,
K0179,1,2023-05-19
K0180,0,
K0181,1,2023-05-25
K0182,0,
K0183,0,
K0184,0,
K0185,0,
K0186,1,2023-08-10
K0187,0,
K0188,0,
K0189,0,
K0190,0,
K0191,1,2023-01-21
K0192,0,
K0193,0,
K0194,0,
K0195,0,
K0196,1,2023-05-26
K0197,0,
K0198,0,
K0199,0,
K0200,0,
K0201,0,
K0202,0,
K0203,0,
K0204,0,
K0205,0,
K0206,0,
K0207,0,
K0208,1,2023-09-25
K0209,0,
K0210,0,
K0211,0,
K0212,1,2023-05-08
K0213,0,
K0214,0,
K0215,1,2023-08-29
K0216,1,2023-05-18
K0217,0,
K0218,1,2023-03-23
K0219,1,2023-12-18
K0220,0,
K0221,0,
K0222,0,
K0223,1,2023-07-10
K0224,0,
K0225,0,
K0226,0,
K0227,0,
K0228,0,
K0229,0,
K0230,0,
K0231,1,2023-10-14
K0232,0,
K0233,0,
K0234,1,2023-12-23
K0235,1,2023-02-28
K0236,1,2023-06-16
K0237,0,
K0238,1,2023-09-28
K0239,0,
K0240,0,
K0241,0,
K0242,0,
K0243,0,
K0244,0,
K0245,0,
K0246,0,
K0247,0,
K0248,0,
K0249,0,
K0250,0,
K0251,0,
K0252,0,
K0253,0,
K0254,0,
K0255,1,2023-05-15
K0256,0,
K0257,1,2023-10-19
K0258,1,2023-07-25
K0259,1,2023-07-03
K0260,0,
K0261,0,
K0262,1,2023-10-08
K0263,0,
K0264,1,2023-06-07
K0265,1,2023-12-13
K0266,1,2023-02-02
K0267,0,
K0268,1,2023-01-04
K0269,0,
K0270,0,
K0271,1,2023-10-01
K0272,0,
K0273,1,2023-07-19
K0274,1,2023-12-09
K0275,0,
K0276,0,
K0277,1,2023-06-01
K0278,1,2023-11-02
K0279,0,
K0280,1,2023-12-30
K0281,0,
K0282,0,
K0283,0,
K0284,0,
K0285,0,
K0286,0,
K0287,1,2023-01-27
K0288,0,
K0289,0,
K0290,1,2023-05-14
K0291,0,
K0292,0,
K0293,0,
K0294,0,
K0295,0,
K0296,0,
K0297,0,
K0298,1,2023-06-27
K0299,0,
K0300,0,
K0301,0,
K0302,0,
K0303,1,2023-03-16
K0304,1,2023-05-15
K0305,0,
K0306,1,2023-06-08
K0307,0,
K0308,0,
K0309,0,
K0310,0,
K0311,0,
K0312,0,
K0313,1,2023-09-29
K0314,0,
K0315,0,
K0316,0,
K0317,0,
K0318,1,2023-11-23
K0319,1,2023-10-11
K0320,0,
K0321,0,
K0322,0,
K0323,0,
K0324,1,2023-07-31
K0325,0,
K0326,0,
K0327,0,
K0328,0,
K0329,0,
K0330,0,
K0331,0,
K0332,1,2023-02-26
K0333,1,2023-04-24
K0334,0,
K0335,0,
K0336,0,
K0337,0,
K0338,0,
K0339,1,2023-04-15
K0340,0,
K0341,0,
K0342,0,
K0343,1,2023-09-14
K0344,0,
K0345,0,
K0346,0,
K0347,0,
K0348,0,
K0349,0,
K0350,0,
K0351,1,2023-02-02
K0352,0,
K0353,0,
K0354,0,
K0355,0,
K0356,0,
K0357,0,
K0358,0,
K0359,0,
K0360,0,
K0361,0,
K0362,0,
K0363,1,2023-10-18
K0364,0,
K0365,1,2023-11-11
K0366,0,
K0367,1,2023-09-24
K0368,0,
K0369,0,
K0370,0,
K0371,0,
K0372,0,
K0373,0,
K0374,0,
K0375,1,2023-11-17
K0376,0,
K0377,0,
K0378,0,
K0379,0,
K0380,0,
K0381,1,2023-09-13
K0382,1,2023-02-16
K0383,1,2023-09-13
K0384,1,2023-09-05
K0385,0,
K0386,1,2023-06-13
K0387,0,
K0388,0,
K0389,0,
K0390,0,
K0391,0,
K0392,0,
K0393,0,
K0394,0,
K0395,0,
K0396,0,
K0397,0,
K0398,1,2023-06-26
K0399,0,
K0400,0,
K0401,0,
K0402,1,2023-07-06
K0403,0,
K0404,0,
K0405,1,2023-08-17
K0406,0,
K0407,0,
K0408,0,
K0409,0,
K0410,0,
K0411,0,
K0412,0,
K0413,0,
K0414,0,
K0415,1,2023-03-16
K0416,0,
K0417,0,
K0418,0,
K0419,0,
K0420,1,2023-09-02
K0421,0,
K0422,1,2023-12-04
K0423,1,2023-04-18
K0424,1,2023-03-14
K0425,0,
K0426,0,
K0427,1,2023-03-09
K0428,0,
K0429,1,2023-07-16
K0430,0,
K0431,0,
K0432,0,
K0433,1,2023-06-24
K0434,0,
K0435,0,
K0436,0,
K0437,0,
K0438,0,
K0439,0,
K0440,1,2023-07-22
K0441,0,
K0442,0,
K0443,0,
K0444,0,
K0445,0,
K0446,0,
K0447,0,
K0448,0,
K0449,1,2023-06-20
K0450,0,
K0451,0,
K0452,1,2023-03-14
K0453,0,
K0454,1,2023-05-04
K0455,0,
K0456,0,
K0457,1,2023-02-19
K0458,0,
K0459,0,
K0460,0,
K0461,0,
K0462,1,2023-03-27
K0463,0,
K0464,0,
K0465,0,
K0466,0,
K0467,0,
K0468,0,
K0469,0,
K0470,1,2023-01-21
K0471,0,
K0472,0,
K0473,1,2023-10-22
K0474,1,2023-11-25
K0475,0,
K0476,0,
K0477,0,
K0478,0,
K0479,1,2023-08-10
K0480,0,
K0481,0,
K0482,1,2023-09-30
K0483,1,2023-04-02
K0484,0,
K0485,0,
K0486,0,
K0487,0,
K0488,0,
K0489,0,
