contract_id,klant_id,startdatum,einddatum,abonnementstype,maandelijkse_kosten
CN41566,K0001,2017-04-03,2018-03-23,Platina,69.58
CN97404,K0001,2017-09-12,2018-08-04,Goud,56.77
CN55293,K0001,2017-01-05,2018-10-23,Zilver,25.91
CN36111,K0002,2017-06-03,2019-02-07,Platina,87.62
CN85341,K0002,2017-07-16,2019-05-21,Platina,65.75
CN84177,K0002,2017-06-01,,Platina,41.96
CN40162,K0003,2017-01-26,2018-12-15,Goud,82.06
CN98835,K0003,2017-11-07,2019-05-01,Zilver,69.67
CN67779,K0003,2017-12-04,2018-10-20,Basis,44.71
CN52823,K0004,2017-10-24,2019-04-30,Basis,92.77
CN45720,K0005,2017-08-01,2018-07-26,Goud,62.47
CN48684,K0005,2017-03-26,2018-06-12,Platina,97.39
CN39571,K0005,2017-06-23,2018-04-16,Basis,31.26
CN61717,K0006,2017-12-12,2019-07-21,Goud,27.22
CN98125,K0006,2017-01-08,2018-04-03,Platina,49.49
CN40647,K0006,2017-05-15,2018-12-06,Goud,28.67
CN93283,K0007,2017-01-13,2018-06-12,Zilver,71.81
CN14877,K0007,2017-08-26,2018-12-28,Basis,31.18
CN58629,K0008,2017-09-10,,Zilver,51.09
CN95841,K0008,2017-12-10,2019-08-11,Zilver,90.83
CN58566,K0009,2017-09-08,2019-04-28,Goud,22.62
CN99873,K0010,2017-08-16,2019-05-13,Goud,27.95
CN26011,K0011,2017-10-06,,Goud,35.18
CN53713,K0011,2017-08-21,2018-05-21,Basis,24.05
CN40539,K0012,2017-03-06,,Zilver,66.91
CN80807,K0013,2017-03-17,2017-09-15,Zilver,99.0
CN56955,K0013,2017-05-09,2018-05-02,Basis,30.54
CN65176,K0014,2017-10-29,,Goud,24.19
CN24293,K0015,2017-02-28,2017-10-31,Goud,61.06
CN96363,K0015,2017-08-20,2019-07-16,Basis,78.18
CN72781,K0015,2017-09-24,2019-01-25,Basis,24.87
CN20589,K0016,2017-08-07,2018-05-24,Platina,25.88
CN86724,K0016,2017-06-14,,Goud,69.95
CN89354,K0017,2017-12-31,2019-05-27,Goud,56.3
CN95316,K0017,2017-08-09,2018-05-17,Basis,88.22
CN69441,K0017,2017-10-10,2018-11-14,Zilver,53.11
CN59060,K0018,2017-08-01,2018-05-05,Goud,73.21
CN22656,K0018,2017-03-20,,Basis,27.46
CN63845,K0019,2017-07-10,2018-05-19,Goud,73.6
CN88696,K0019,2017-07-01,2019-03-06,Basis,97.47
CN73201,K0019,2017-06-09,2018-12-01,Zilver,32.38
CN46512,K0020,2017-02-25,2018-08-17,Goud,29.19
CN96223,K0021,2017-04-26,2019-01-05,Basis,68.72
CN50499,K0021,2017-12-22,,Goud,76.22
CN62531,K0021,2017-06-23,,Zilver,65.31
CN69460,K0022,2017-03-14,,Zilver,50.1
CN84395,K0023,2017-03-22,2018-10-01,Goud,82.15
CN90981,K0023,2017-11-02,2018-07-26,Zilver,32.59
CN67939,K0024,2017-12-12,2018-09-01,Platina,58.85
CN24534,K0025,2017-05-20,2018-06-24,Basis,47.61
CN61807,K0025,2017-05-26,2019-04-04,Goud,23.63
CN43491,K0026,2017-01-29,2017-08-04,Zilver,81.39
CN33028,K0026,2017-05-29,2018-10-26,Platina,79.76
CN97562,K0026,2017-03-08,2018-09-28,Zilver,60.02
CN70260,K0027,2017-02-06,2018-09-15,Basis,54.9
CN64747,K0027,2017-02-09,2018-06-24,Platina,76.76
CN91018,K0028,2017-02-28,,Goud,33.75
CN87184,K0028,2017-08-24,,Basis,39.47
CN39041,K0029,2017-09-26,2018-06-13,Goud,79.66
CN35415,K0029,2017-06-20,,Basis,62.45
CN32740,K0030,2017-06-29,2018-05-26,Zilver,40.48
CN92306,K0030,2017-11-05,2018-10-07,Basis,34.17
CN92210,K0031,2017-08-26,2019-05-27,Goud,89.14
CN49691,K0031,2017-06-11,2018-05-11,Platina,55.38
CN69233,K0032,2017-10-30,2018-06-24,Basis,44.83
CN21835,K0032,2017-01-20,2017-09-15,Goud,26.14
CN84928,K0033,2017-11-01,2019-10-01,Basis,55.98
CN18109,K0033,2017-11-30,2018-12-07,Platina,60.11
CN21053,K0033,2017-08-19,2018-05-31,Goud,98.59
CN78690,K0034,2017-11-27,,Platina,99.28
CN54350,K0034,2017-09-25,2018-09-02,Goud,50.99
CN22387,K0034,2017-12-14,2018-08-04,Goud,25.27
CN86380,K0035,2017-12-14,2019-07-12,Zilver,46.67
CN96787,K0035,2017-12-06,2018-10-26,Goud,97.42
CN59372,K0035,2017-07-20,2018-05-28,Basis,44.77
CN65496,K0036,2017-06-18,2018-04-24,Basis,71.68
CN38074,K0036,2017-09-18,,Goud,34.42
CN48770,K0036,2017-06-24,2019-05-02,Zilver,32.4
CN91006,K0037,2017-09-17,,Goud,90.11
CN91885,K0038,2017-11-02,2019-05-21,Zilver,86.51
CN90031,K0039,2017-08-13,2018-03-25,Zilver,97.57
CN71474,K0040,2017-08-18,2018-10-11,Goud,97.25
CN46932,K0040,2017-04-10,2018-10-18,Platina,56.93
CN89254,K0041,2017-09-15,2019-09-05,Zilver,85.35
CN82684,K0041,2017-03-12,,Platina,89.93
CN31012,K0042,2017-12-31,2019-12-09,Goud,26.71
CN39102,K0043,2017-08-19,2019-07-25,Platina,27.34
CN75799,K0043,2017-08-19,2019-02-07,Platina,24.26
CN51770,K0044,2017-05-01,2018-11-27,Goud,37.96
CN71925,K0044,2017-02-20,2018-07-28,Zilver,23.06
CN12490,K0045,2017-03-13,2019-01-02,Basis,92.47
CN47762,K0045,2017-05-12,2018-06-16,Platina,28.89
CN91633,K0045,2017-05-02,2018-09-02,Zilver,53.59
CN12154,K0046,2017-02-02,2017-11-22,Platina,67.74
CN10205,K0046,2017-11-20,2019-10-28,Zilver,43.3
CN21221,K0047,2017-06-30,2018-08-30,Zilver,73.15
CN71621,K0047,2017-09-26,,Basis,51.24
CN56805,K0047,2017-01-23,2018-08-22,Goud,79.79
CN53583,K0048,2017-06-26,2018-08-26,Basis,81.72
CN99742,K0049,2017-01-23,2018-07-17,Zilver,86.43
CN69988,K0050,2017-12-23,2019-10-24,Zilver,25.05
CN51365,K0050,2017-01-19,2018-05-14,Zilver,90.86
CN94790,K0051,2017-09-21,2019-05-01,Platina,40.27
CN53506,K0051,2017-04-08,2018-07-24,Basis,89.26
CN60678,K0052,2017-03-05,2018-09-12,Platina,79.46
CN78062,K0052,2017-06-23,2018-06-29,Platina,49.39
CN52101,K0053,2017-02-12,,Zilver,63.64
CN88986,K0053,2017-02-22,2017-11-10,Goud,44.52
CN56210,K0054,2017-08-07,2018-07-23,Goud,55.77
CN93560,K0054,2017-11-11,2019-07-29,Basis,26.0
