klant_id,jaar_maand,gb_verbruikt,minuten_gebeld
K0001,2022-11,39.2,979
K0001,2022-12,16.0,321
K0001,2023-08,30.2,549
K0001,2023-04,10.0,830
K0001,2023-06,32.3,980
K0001,2022-05,46.2,619
K0002,2022-10,39.5,433
K0002,2023-12,35.0,873
K0002,2022-02,0.5,267
K0002,2024-03,10.2,303
K0002,2022-07,1.3,667
K0002,2023-05,32.2,431
K0002,2023-11,3.9,476
K0002,2024-04,38.8,151
K0002,2022-08,22.3,391
K0003,2022-06,15.8,737
K0003,2023-08,18.8,26
K0003,2023-03,31.4,661
K0003,2024-01,16.2,182
K0003,2022-11,16.3,856
K0003,2022-04,38.0,659
K0003,2022-09,14.1,579
K0003,2024-02,37.8,40
K0003,2023-10,44.2,57
K0003,2022-07,36.1,730
K0003,2023-09,6.6,65
K0003,2022-10,46.3,143
K0003,2024-04,7.6,535
K0003,2023-05,8.2,730
K0003,2022-03,11.8,772
K0003,2023-04,18.0,365
K0003,2022-01,16.9,422
K0003,2022-02,17.2,71
K0003,2022-12,24.6,558
K0003,2023-01,3.1,426
K0003,2022-08,32.1,405
K0003,2023-02,34.7,561
K0003,2023-12,41.1,833
K0004,2023-03,23.9,43
K0004,2022-06,11.0,238
K0004,2022-04,47.5,977
K0004,2024-01,43.5,512
K0004,2022-09,16.0,396
K0004,2022-08,37.8,686
K0004,2023-11,19.8,522
K0004,2022-02,38.3,504
K0004,2023-06,1.2,731
K0004,2022-01,34.9,563
K0004,2023-09,3.4,204
K0004,2023-10,29.5,213
K0005,2023-07,26.8,937
K0005,2023-04,31.4,637
K0005,2022-01,14.1,569
K0005,2022-12,18.7,397
K0005,2023-11,8.0,206
K0005,2022-03,37.7,262
K0005,2024-04,16.7,334
K0005,2024-01,44.9,402
K0005,2023-05,6.0,292
K0005,2022-06,22.6,456
K0005,2023-01,30.2,667
K0005,2022-07,33.6,788
K0005,2022-05,20.3,189
K0006,2022-02,41.6,690
K0006,2023-01,10.7,607
K0006,2024-02,40.9,369
K0006,2022-04,23.2,663
K0006,2023-12,31.3,580
K0006,2022-07,44.5,863
K0006,2023-11,12.6,523
K0006,2023-07,1.2,12
K0006,2022-10,10.8,185
K0007,2022-07,3.9,109
K0007,2023-04,44.2,873
K0007,2023-12,1.6,51
K0007,2023-01,42.9,969
K0007,2024-02,13.7,0
K0007,2022-11,15.2,390
K0007,2023-03,36.4,984
K0007,2024-01,8.0,54
K0007,2023-08,18.4,661
K0007,2022-06,9.5,433
K0007,2024-03,37.1,381
K0007,2023-06,3.8,427
K0007,2022-10,32.7,304
K0007,2023-09,38.5,920
K0007,2023-11,6.0,145
K0007,2022-04,13.1,952
K0008,2022-04,43.5,593
K0008,2023-09,34.7,279
K0008,2023-12,13.5,719
K0008,2023-10,28.2,64
K0008,2022-01,36.6,156
K0008,2023-04,10.8,407
K0008,2022-06,33.9,30
K0008,2024-02,1.9,442
K0008,2024-04,41.5,422
K0008,2022-03,8.8,13
K0008,2022-08,28.8,45
K0008,2023-03,32.8,982
K0009,2023-11,28.2,877
K0009,2022-10,21.8,974
K0009,2023-12,35.1,810
K0009,2023-04,11.6,868
K0009,2022-07,37.1,293
K0009,2022-09,18.2,612
K0009,2022-01,18.4,840
K0009,2024-04,23.6,167
K0009,2024-02,18.7,923
K0009,2022-08,18.6,564
K0009,2023-03,27.0,328
K0009,2023-10,36.8,355
K0009,2022-02,20.4,594
K0009,2023-02,20.1,478
K0010,2024-01,22.5,552
K0010,2022-10,43.1,168
K0010,2022-05,44.5,351
K0010,2023-10,25.3,880
K0010,2023-04,49.1,148
K0010,2024-04,29.9,553
K0010,2023-06,31.6,762
K0010,2023-02,8.0,817
K0010,2022-12,28.7,1000
K0010,2023-09,40.8,210
K0010,2022-03,41.2,405
K0010,2022-09,4.1,429
K0010,2024-02,44.0,513
K0010,2022-06,27.2,532
K0010,2023-03,5.2,4
K0010,2022-11,12.7,563
K0010,2022-08,33.2,168
K0011,2023-10,28.9,767
K0011,2023-11,20.4,769
K0011,2024-02,49.4,231
K0011,2022-11,32.0,464
K0011,2023-04,7.8,710
K0011,2022-04,44.8,192
K0011,2024-01,35.8,914
K0011,2022-12,39.7,516
K0011,2023-06,40.0,507
K0011,2023-01,7.2,73
K0011,2023-05,34.7,313
K0011,2023-07,12.1,415
K0011,2022-08,15.1,214
K0012,2023-09,18.7,311
K0012,2022-04,21.4,603
K0012,2022-07,46.0,650
K0012,2022-01,30.7,42
K0012,2024-01,34.0,1000
K0012,2023-12,1.6,327
K0012,2022-10,17.6,261
K0012,2024-03,35.0,881
K0012,2024-02,39.9,770
K0012,2022-06,27.0,100
K0012,2022-03,21.1,601
K0012,2023-06,31.0,359
K0012,2022-09,47.5,701
K0012,2022-08,24.5,27
