ticket_id,klant_id,aangemaakt_op,opgelost_op,probleemtype,tevredenheidsscore
T54793,K0001,2022-03-21,2022-03-23,Facturatieprobleem,5.0
T92517,K0002,2022-11-24,2022-11-27,Andere,5.0
T20378,K0002,2022-10-25,2022-10-30,Andere,4.0
T49375,K0002,2023-04-01,2023-04-04,Technische storing,
T20031,K0003,2022-06-20,2022-06-30,Facturatieprobleem,5.0
T96619,K0005,2021-04-21,2021-04-28,Facturatieprobleem,4.0
T86751,K0005,2023-01-08,2023-01-13,Abonnementsvraag,3.0
T96714,K0005,2021-03-25,2021-03-26,Facturatieprobleem,
T20917,K0005,2022-04-19,2022-04-22,Andere,1.0
T68975,K0006,2023-06-17,2023-06-23,Andere,
T34259,K0006,2022-10-01,2022-10-07,Technische storing,2.0
T23936,K0006,2021-03-22,2021-04-01,Abonnementsvraag,
T11743,K0007,2022-07-02,,Andere,1.0
T88890,K0007,2021-06-25,2021-07-03,Andere,
T98316,K0007,2023-01-14,2023-01-24,Abonnementsvraag,
T27709,K0008,2022-11-23,2022-11-28,Facturatieprobleem,2.0
T37424,K0008,2021-01-15,2021-01-16,Technische storing,1.0
T80593,K0008,2022-05-08,2022-05-12,Andere,
T72126,K0008,2021-07-15,,Andere,2.0
T68361,K0008,2022-03-09,,Technische storing,2.0
T41801,K0009,2022-04-28,,Andere,5.0
T11032,K0009,2021-07-26,2021-08-02,Facturatieprobleem,3.0
T85846,K0009,2021-04-16,2021-04-23,Andere,4.0
T62386,K0010,2023-01-19,2023-01-24,Facturatieprobleem,4.0
T17956,K0010,2022-05-13,2022-05-23,Andere,2.0
T18324,K0010,2022-06-25,,Abonnementsvraag,5.0
T74852,K0010,2021-10-02,2021-10-09,Andere,1.0
T47750,K0011,2022-10-24,2022-10-31,Facturatieprobleem,2.0
T76536,K0011,2023-01-14,2023-01-20,Andere,2.0
T48455,K0011,2021-08-13,2021-08-19,Andere,2.0
T31237,K0011,2023-01-11,2023-01-18,Abonnementsvraag,4.0
T32713,K0012,2021-08-01,2021-08-03,Andere,2.0
T74713,K0012,2021-07-24,2021-08-01,Facturatieprobleem,4.0
T57026,K0012,2021-11-07,2021-11-16,Facturatieprobleem,1.0
T14190,K0012,2021-09-25,2021-09-28,Technische storing,5.0
T39372,K0014,2022-03-17,2022-03-21,Facturatieprobleem,5.0
T83010,K0014,2022-05-14,2022-05-20,Abonnementsvraag,1.0
T16608,K0015,2021-06-04,2021-06-13,Facturatieprobleem,
T89908,K0015,2022-03-25,2022-03-27,Facturatieprobleem,5.0
T57400,K0017,2021-02-12,2021-02-15,Facturatieprobleem,2.0
T23014,K0017,2021-06-10,2021-06-18,Andere,
T36462,K0017,2021-06-07,2021-06-13,Technische storing,1.0
T54737,K0017,2022-03-26,2022-03-27,Technische storing,4.0
T64396,K0018,2022-06-02,2022-06-07,Abonnementsvraag,
T65275,K0018,2022-01-05,2022-01-09,Technische storing,5.0
T77653,K0019,2021-05-22,2021-05-29,Andere,4.0
T77809,K0020,2022-01-06,2022-01-14,Technische storing,1.0
T31538,K0020,2021-03-13,,Abonnementsvraag,4.0
T94078,K0020,2022-03-21,,Facturatieprobleem,
T62691,K0020,2021-06-04,2021-06-05,Abonnementsvraag,4.0
T11035,K0020,2022-11-29,2022-12-04,Abonnementsvraag,3.0
T94394,K0021,2022-06-25,2022-06-28,Andere,4.0
T55252,K0021,2021-07-30,2021-08-09,Andere,
T80442,K0022,2022-02-19,2022-02-24,Facturatieprobleem,1.0
T22166,K0022,2021-12-09,2021-12-12,Abonnementsvraag,2.0
T30975,K0022,2022-06-08,2022-06-17,Abonnementsvraag,
T49838,K0022,2021-01-24,,Abonnementsvraag,2.0
T17857,K0022,2023-01-14,2023-01-23,Facturatieprobleem,
T95322,K0023,2021-09-23,2021-09-29,Facturatieprobleem,1.0
T54430,K0023,2021-05-08,2021-05-18,Facturatieprobleem,4.0
T49216,K0024,2023-04-05,2023-04-15,Technische storing,3.0
T59501,K0025,2022-11-14,2022-11-24,Technische storing,
T86332,K0025,2022-06-17,2022-06-19,Abonnementsvraag,5.0
T65796,K0026,2023-04-23,2023-05-01,Facturatieprobleem,2.0
T72423,K0027,2021-03-25,,Andere,2.0
T83265,K0027,2021-08-08,2021-08-14,Andere,5.0
T65498,K0027,2022-06-16,2022-06-21,Andere,
T28919,K0028,2022-12-07,2022-12-15,Andere,2.0
T77264,K0028,2022-06-02,2022-06-10,Technische storing,
T14273,K0028,2023-06-03,2023-06-07,Andere,4.0
T63558,K0029,2021-06-10,2021-06-16,Facturatieprobleem,5.0
T78521,K0029,2021-04-23,2021-05-03,Abonnementsvraag,1.0
T48532,K0029,2021-06-06,2021-06-11,Abonnementsvraag,3.0
T87283,K0029,2022-05-13,,Technische storing,2.0
T38256,K0029,2022-03-08,,Abonnementsvraag,3.0
T55698,K0030,2023-04-19,2023-04-20,Facturatieprobleem,5.0
T59454,K0033,2022-05-08,2022-05-18,Andere,3.0
T76160,K0033,2022-05-02,2022-05-12,Technische storing,2.0
T52626,K0033,2022-10-14,2022-10-22,Andere,2.0
T54433,K0035,2022-11-12,2022-11-19,Technische storing,4.0
T46356,K0035,2022-07-08,,Andere,
T13251,K0035,2022-10-24,,Technische storing,
T83315,K0035,2022-08-09,2022-08-14,Facturatieprobleem,
T75881,K0037,2022-09-26,2022-09-27,Technische storing,4.0
T42150,K0040,2022-06-29,2022-06-30,Abonnementsvraag,2.0
T79932,K0040,2023-04-30,2023-05-10,Andere,1.0
T13049,K0040,2022-09-14,2022-09-24,Facturatieprobleem,4.0
T51599,K0040,2021-12-15,2021-12-22,Facturatieprobleem,5.0
T32040,K0040,2022-01-27,2022-01-29,Facturatieprobleem,5.0
T63382,K0041,2021-05-28,2021-05-30,Technische storing,3.0
T13561,K0041,2022-11-26,2022-12-06,Abonnementsvraag,2.0
T64109,K0042,2021-03-01,2021-03-03,Abonnementsvraag,2.0
T41407,K0042,2021-11-28,2021-11-30,Facturatieprobleem,2.0
T76115,K0042,2023-02-10,2023-02-14,Andere,5.0
T70925,K0042,2022-01-30,2022-02-04,Facturatieprobleem,3.0
T93039,K0042,2022-07-21,2022-07-29,Facturatieprobleem,4.0
T82706,K0043,2021-01-20,2021-01-30,Facturatieprobleem,2.0
T20998,K0044,2023-03-16,2023-03-26,Andere,4.0
T80836,K0044,2023-05-17,2023-05-21,Technische storing,3.0
T69210,K0044,2021-06-22,2021-07-01,Andere,5.0
T47912,K0044,2021-02-12,,Andere,5.0
T45822,K0044,2022-10-31,2022-11-01,Facturatieprobleem,4.0
T37886,K0045,2021-09-14,2021-09-21,Abonnementsvraag,
T80004,K0045,2022-08-23,2022-08-28,Facturatieprobleem,2.0
T26118,K0045,2022-07-31,,Facturatieprobleem,4.0
T37636,K0045,2023-05-01,2023-05-10,Abonnementsvraag,4.0
T44257,K0046,2022-06-01,2022-06-07,Abonnementsvraag,
T52157,K0046,2023-02-10,2023-02-15,Technische storing,
T27527,K0046,2021-12-16,2021-12-26,Abonnementsvraag,1.0
T11255,K0046,2022-10-24,2022-11-03,Andere,1.0
T20636,K0047,2021-06-27,2021-07-05,Andere,5.0
T68350,K0047,2023-03-18,2023-03-20,Facturatieprobleem,
T33224,K0047,2022-11-20,2022-11-27,Abonnementsvraag,4.0
T58559,K0047,2023-05-10,2023-05-11,Facturatieprobleem,4.0
T99201,K0047,2021-07-17,2021-07-21,Facturatieprobleem,3.0
T38986,K0048,2022-01-02,2022-01-12,Abonnementsvraag,
T74597,K0048,2021-08-28,2021-09-03,Facturatieprobleem,3.0
T93681,K0048,2022-12-22,2022-12-26,Facturatieprobleem,2.0
T82323,K0048,2022-02-10,2022-02-15,Andere,2.0
T87091,K0048,2021-07-18,2021-07-28,Technische storing,1.0
T39879,K0049,2023-02-03,,Abonnementsvraag,5.0
T98832,K0050,2023-01-17,2023-01-21,Facturatieprobleem,
T65982,K0050,2022-06-30,2022-07-09,Andere,1.0
T63330,K0050,2022-10-19,2022-10-20,Abonnementsvraag,4.0
T57378,K0050,2021-10-08,2021-10-17,Andere,4.0
T46429,K0051,2023-02-17,,Technische storing,1.0
